DateID,FullDate
2358,2023-03-27
2359,2023-03-28
2360,2023-03-29
2361,2023-03-30
2362,2023-03-31
2363,2023-04-01
2364,2023-04-02
2365,2023-04-03
2366,2023-04-04
2367,2023-04-05
2368,2023-04-06
2369,2023-04-07
2370,2023-04-08
2371,2023-04-09
2372,2023-04-10
2373,2023-04-11
2374,2023-04-12
2375,2023-04-13
2376,2023-04-14
2377,2023-04-15
2378,2023-04-16
2379,2023-04-17
2380,2023-04-18
2381,2023-04-19
2382,2023-04-20
2383,2023-04-21
2384,2023-04-22
2385,2023-04-23
2386,2023-04-24
2387,2023-04-25
2388,2023-04-26
2389,2023-04-27
2390,2023-04-28
2391,2023-04-29
2392,2023-04-30
2393,2023-05-01
2394,2023-05-02
2395,2023-05-03
2396,2023-05-04
2397,2023-05-05
2398,2023-05-06
2399,2023-05-07
2400,2023-05-08
2401,2023-05-09
2402,2023-05-10
2403,2023-05-11
2404,2023-05-12
2405,2023-05-13
2406,2023-05-14
2407,2023-05-15
2408,2023-05-16
2409,2023-05-17
2410,2023-05-18
2411,2023-05-19
2412,2023-05-20
2413,2023-05-21
2414,2023-05-22
2415,2023-05-23
2416,2023-05-24
2417,2023-05-25
2418,2023-05-26
2419,2023-05-27
2420,2023-05-28
2421,2023-05-29
2422,2023-05-30
2423,2023-05-31
2424,2023-06-01
2425,2023-06-02
2426,2023-06-03
2427,2023-06-04
2428,2023-06-05
2429,2023-06-06
2430,2023-06-07
2431,2023-06-08
2432,2023-06-09
2433,2023-06-10
2434,2023-06-11
2435,2023-06-12
2436,2023-06-13
2437,2023-06-14
2438,2023-06-15
2439,2023-06-16
2440,2023-06-17
2441,2023-06-18
2442,2023-06-19
2443,2023-06-20
2444,2023-06-21
2445,2023-06-22
2446,2023-06-23
2447,2023-06-24
2448,2023-06-25
2449,2023-06-26
2450,2023-06-27
2451,2023-06-28
2452,2023-06-29
2453,2023-06-30
2454,2023-07-01
2455,2023-07-02
2456,2023-07-03
2457,2023-07-04
2458,2023-07-05
2459,2023-07-06
2460,2023-07-07
2461,2023-07-08
2462,2023-07-09
2463,2023-07-10
2464,2023-07-11
2465,2023-07-12
2466,2023-07-13
2467,2023-07-14
2468,2023-07-15
2469,2023-07-16
2470,2023-07-17
2471,2023-07-18
2472,2023-07-19
2473,2023-07-20
2474,2023-07-21
2475,2023-07-22
2476,2023-07-23
2477,2023-07-24
2478,2023-07-25
2479,2023-07-26
2480,2023-07-27
